iter	PRAUC	Logloss
0	0.7957804342	0.6820776513
1	0.8064386787	0.6714676606
2	0.8120791916	0.6618914795
3	0.8134045875	0.6531879724
4	0.8163974642	0.6461467656
5	0.8153215227	0.6410152597
6	0.8183001223	0.6357108688
7	0.8184841608	0.6296115096
8	0.8185615978	0.6240411295
9	0.8195345058	0.618728772
10	0.8199089447	0.6148576758
11	0.8209305446	0.6106837187
12	0.8212562486	0.6079294061
13	0.8210725934	0.6049139713
14	0.8208153287	0.6015946548
15	0.8218626569	0.5996149903
16	0.8229343376	0.5965438697
17	0.8223987985	0.5938867641
18	0.8223302538	0.5918990458
19	0.8224717659	0.5896395451
20	0.8225186821	0.5884681023
21	0.8227506848	0.5866224946
22	0.8244735556	0.5848553335
23	0.8243612855	0.5835290129
24	0.8247822477	0.5826035913
25	0.8244456512	0.5811398494
26	0.8242136688	0.5798926923
27	0.8240122021	0.5787372729
28	0.8247219318	0.5774802931
29	0.8256777786	0.5766410393
30	0.8256169962	0.5757773505
31	0.8261969275	0.5751245623
32	0.8261572396	0.5749247936
33	0.8268743652	0.5740818998
34	0.8272384791	0.573687818
35	0.8277750898	0.5731001455
36	0.8277532513	0.5729627596
37	0.8281361593	0.5721656645
38	0.8285119698	0.5712660061
39	0.8290323937	0.5705429692
40	0.8291050974	0.5700015537
41	0.8295940177	0.5695438377
42	0.829559884	0.5690359796
43	0.8300954996	0.5684242923
44	0.8298123525	0.5680033192
45	0.8300247214	0.5675281476
46	0.8303360249	0.5672650164
47	0.8308101242	0.5667617764
48	0.8314250086	0.5662462967
49	0.8314836509	0.5661506626
50	0.8320243326	0.5656368464
51	0.8322364793	0.5653858852
52	0.8323338432	0.5652220642
53	0.8326247162	0.5649258374
54	0.8327332838	0.5646096843
55	0.8327259468	0.5645827226
56	0.8328547804	0.5641917279
57	0.8329715295	0.5640365729
58	0.8331642243	0.5637805145
59	0.833351712	0.5635118312
60	0.8335850042	0.5631208673
61	0.8335768955	0.5629363948
62	0.8336441795	0.5626916455
63	0.8336542238	0.5626444488
64	0.8340073554	0.5623157434
65	0.8339674356	0.5622527415
66	0.8341396752	0.5619588413
67	0.8342261527	0.5618192313
68	0.8344258379	0.5615054175
69	0.8344323699	0.5614307274
70	0.8346642835	0.5612408577
71	0.835086099	0.5608096182
72	0.8351416869	0.560747599
73	0.8352199126	0.5606820605
74	0.8352455187	0.5605976681
75	0.8354481458	0.5603492351
76	0.8354617513	0.5603454073
77	0.8355963586	0.5602050629
78	0.8356137913	0.5601085126
79	0.835771262	0.5598898659
80	0.8358119479	0.5598693524
81	0.8358442129	0.559752382
82	0.8358092524	0.5596727928
83	0.8358639825	0.5595238503
84	0.8361746342	0.5592239562
85	0.8362074834	0.5591789003
86	0.836428431	0.5589815006
87	0.8366029256	0.5588473931
88	0.8366274038	0.5588435454
89	0.8369223435	0.558669249
90	0.8369502269	0.558631271
91	0.8371254838	0.5584539092
92	0.8376030252	0.5581838295
93	0.8375821762	0.5580993997
94	0.8377846352	0.5578877972
95	0.8377846352	0.5578877652
96	0.8383870258	0.5575611068
97	0.8384773274	0.5574233053
98	0.8384274371	0.5573585359
99	0.8389146169	0.5570645744
100	0.8391327067	0.5568340792
101	0.8392816384	0.5566038474
102	0.8393303529	0.5564942172
103	0.839530233	0.5562024086
104	0.8397305725	0.5560076862
105	0.839773191	0.5559432965
106	0.8397719137	0.5558668249
107	0.8398576668	0.5557467857
108	0.8400756756	0.5555789362
109	0.8400802773	0.555542571
110	0.8404305896	0.5552427865
111	0.8405704052	0.5550616777
112	0.8406107494	0.5550006763
113	0.8407608965	0.5548605848
114	0.8412005326	0.5546327909
115	0.8412881738	0.5544253511
116	0.8414559104	0.554171851
117	0.8414728105	0.554076155
118	0.8414443543	0.5539689432
119	0.8415391025	0.5538685644
120	0.8416620109	0.553733671
121	0.8416950303	0.5536809529
122	0.8418164767	0.5534831937
123	0.8418664853	0.5533398276
124	0.8419560668	0.5531110819
125	0.8419842552	0.5530309781
126	0.8421490768	0.5529165063
127	0.8422305965	0.5527767471
128	0.8422378495	0.5526985315
129	0.8422182294	0.5526425537
