iter	Passed	Remaining
0	62	124538
1	66	66364
2	70	46882
3	74	37354
4	78	31221
5	81	26943
6	84	24151
7	88	22114
8	92	20538
9	96	19275
10	100	18219
11	104	17368
12	108	16557
13	112	15987
14	116	15394
15	120	14966
16	124	14535
17	129	14239
18	133	13886
19	137	13568
20	140	13226
21	143	12916
22	147	12701
23	151	12437
24	155	12258
25	158	12049
26	162	11910
27	167	11767
28	170	11620
29	174	11441
30	178	11332
31	181	11180
32	184	10981
33	187	10841
34	190	10714
35	194	10619
36	197	10464
37	200	10373
38	205	10311
39	209	10245
40	212	10147
41	216	10085
42	220	10033
43	223	9943
44	227	9875
45	231	9841
46	235	9783
47	238	9715
48	242	9670
49	245	9584
50	249	9531
51	253	9497
52	257	9441
53	261	9417
54	266	9410
55	269	9349
56	273	9317
57	276	9269
58	280	9213
59	283	9168
60	287	9128
61	291	9106
62	295	9076
63	298	9030
64	301	8987
65	304	8929
66	308	8893
67	311	8862
68	315	8829
69	318	8786
70	323	8776
71	326	8737
72	329	8700
73	332	8658
74	336	8646
75	341	8651
76	345	8627
77	349	8599
78	352	8567
79	356	8546
80	359	8515
81	362	8477
82	365	8444
83	369	8439
84	373	8422
85	377	8393
86	380	8358
87	383	8338
88	387	8317
89	391	8305
90	394	8285
91	398	8268
92	402	8244
93	406	8233
94	409	8208
95	411	8168
96	415	8157
97	420	8167
98	424	8142
99	427	8128
100	431	8105
101	434	8089
102	438	8070
103	442	8058
104	446	8054
105	450	8044
106	454	8037
107	457	8017
108	461	8007
109	466	8018
110	470	8002
111	474	7999
112	477	7980
113	482	7980
114	485	7960
115	489	7950
116	493	7934
117	496	7924
118	500	7908
119	503	7886
120	507	7875
121	510	7857
122	513	7840
123	517	7824
124	521	7823
125	524	7806
126	527	7786
127	531	7767
128	534	7755
129	538	7739
130	541	7723
131	544	7708
132	547	7692
133	551	7683
134	555	7671
135	559	7667
136	561	7640
137	567	7652
138	572	7669
139	577	7673
140	581	7664
141	584	7650
142	589	7653
143	593	7650
144	597	7644
145	601	7642
146	605	7632
147	609	7625
148	612	7610
149	615	7594
150	619	7584
151	624	7589
152	630	7608
153	635	7613
154	639	7615
155	641	7588
156	644	7568
157	648	7564
158	651	7542
159	654	7528
160	658	7518
161	661	7502
162	665	7496
163	668	7489
164	672	7479
165	676	7469
166	680	7467
167	684	7459
168	687	7448
169	691	7441
170	694	7427
171	697	7413
172	701	7403
173	704	7387
174	707	7376
175	710	7366
176	713	7353
177	718	7354
178	727	7397
179	736	7443
180	753	7575
181	760	7591
182	764	7586
183	771	7613
184	778	7641
185	783	7639
186	787	7631
187	790	7621
188	794	7610
189	797	7600
190	802	7597
191	805	7583
192	808	7571
193	812	7561
194	816	7556
195	820	7549
196	825	7550
197	828	7541
198	833	7540
199	837	7534
200	840	7525
201	844	7521
202	848	7508
203	852	7505
204	856	7499
205	859	7488
206	863	7478
207	867	7475
208	871	7467
209	876	7467
210	879	7460
211	885	7465
212	889	7463
213	893	7452
214	896	7443
215	900	7437
216	905	7437
217	909	7434
218	913	7425
219	920	7444
220	923	7435
221	927	7425
222	931	7420
223	934	7411
224	938	7405
225	942	7399
226	947	7398
227	950	7390
228	955	7387
229	959	7382
230	964	7383
231	968	7378
232	972	7374
233	976	7369
234	981	7370
235	986	7373
236	991	7374
237	995	7366
238	998	7358
239	1002	7350
240	1006	7342
241	1009	7337
242	1013	7327
243	1016	7318
244	1021	7317
245	1025	7313
246	1029	7309
247	1033	7298
248	1037	7293
249	1041	7290
250	1045	7286
251	1049	7278
252	1053	7272
253	1056	7265
254	1060	7257
255	1064	7249
256	1068	7243
257	1071	7237
258	1076	7233
259	1080	7230
260	1084	7225
261	1088	7220
262	1093	7221
263	1097	7216
264	1100	7206
265	1104	7202
266	1109	7198
267	1112	7190
268	1116	7187
269	1122	7189
270	1126	7184
271	1129	7176
272	1133	7167
273	1137	7164
274	1140	7155
275	1144	7148
276	1148	7141
277	1152	7138
278	1156	7135
279	1160	7130
280	1165	7131
281	1169	7124
282	1173	7119
283	1177	7114
284	1180	7105
285	1185	7101
286	1188	7095
287	1193	7093
288	1197	7087
289	1201	7086
290	1206	7087
291	1211	7085
292	1214	7077
293	1218	7073
294	1222	7065
295	1226	7062
296	1230	7055
297	1234	7048
298	1237	7042
299	1241	7035
300	1245	7032
301	1252	7039
302	1257	7042
303	1261	7035
304	1265	7031
305	1268	7023
306	1272	7018
307	1276	7010
308	1279	7003
309	1284	7000
310	1288	6995
311	1292	6994
312	1297	6990
313	1301	6986
314	1305	6981
315	1309	6977
316	1312	6969
317	1316	6964
318	1319	6955
319	1323	6949
320	1328	6947
321	1332	6945
322	1336	6938
323	1340	6935
